0.0,10.0,2.0,7.0,2.0,10.0,14.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,22.0,2.0,9.0,2.0,1.0,1.0,0.0,4.0,1.0,4.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,5.0,6.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,68.0,117.0,56.0,167.0,89.0,43.0,76.0,7.0,18.0,25.0,18.0,40.0,454.0,73.0,90.0,18.0,8.0,14.0,5.0,15.0,8.0,149.0,27.0,15.0,13.0,26.0,19.0,1.0,2.0,16.0,28.0,5.0,20.0,33.0,19.0,31.0,11.0,198.0,101.0,65.0,9.0,1.0,0.0,23.0,78.0,62.0,8.0,17.0,0.0,0.0,0.0,6.0,15.0,59.0,9.0,43.0,17.0,7.0,12.0,7.0,28.0,5.0,9.0,0.0,0.0,3.0,6.0,8.0,7.0,16.0,14.0,4.0,35.0,7.0,14.0,7.0,3.0,7.0,5.0,12.0,3.0,4.0,3.0,0.0,0.0,0.0,7.0,24.0,8.0,8.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,18.0,3.0,5.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,47.0,2.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,68.0,0.0,47.0,32.0,36.0,48.0,11.0,20.0,5.0,10.0,16.0,6.0,7.0,163.0,20.0,22.0,10.0,4.0,2.0,1.0,3.0,4.0,57.0,4.0,3.0,3.0,8.0,10.0,2.0,1.0,3.0,4.0,1.0,4.0,15.0,7.0,8.0,2.0,87.0,46.0,24.0,4.0,0.0,0.0,7.0,16.0,12.0,3.0,4.0,1.0,0.0,0.0,2.0,6.0,25.0,4.0,9.0,5.0,3.0,2.0,2.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.0,2.0,3.0,4.0,9.0,4.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,18.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,117.0,47.0,0.0,51.0,132.0,58.0,15.0,64.0,5.0,6.0,23.0,8.0,26.0,336.0,43.0,66.0,19.0,9.0,5.0,2.0,17.0,7.0,122.0,19.0,10.0,11.0,16.0,17.0,0.0,1.0,8.0,18.0,10.0,10.0,22.0,17.0,25.0,6.0,164.0,99.0,57.0,10.0,3.0,2.0,24.0,65.0,60.0,7.0,11.0,3.0,0.0,0.0,5.0,11.0,35.0,9.0,28.0,14.0,4.0,10.0,9.0,18.0,7.0,9.0,0.0,4.0,1.0,3.0,2.0,3.0,17.0,12.0,7.0,23.0,1.0,13.0,5.0,0.0,6.0,1.0,10.0,4.0,5.0,3.0,0.0,3.0,0.0,5.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,5.0,9.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,56.0,32.0,51.0,0.0,58.0,21.0,32.0,31.0,10.0,7.0,31.0,10.0,8.0,124.0,18.0,29.0,9.0,5.0,2.0,0.0,5.0,3.0,45.0,15.0,11.0,2.0,4.0,5.0,0.0,0.0,5.0,6.0,4.0,7.0,10.0,5.0,8.0,3.0,60.0,38.0,23.0,6.0,0.0,0.0,7.0,25.0,13.0,2.0,6.0,3.0,0.0,0.0,3.0,8.0,13.0,4.0,10.0,5.0,2.0,6.0,2.0,11.0,2.0,3.0,0.0,1.0,1.0,3.0,5.0,1.0,2.0,8.0,1.0,9.0,2.0,3.0,1.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,0.0,2.0,1.0,6.0,7.0,8.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,13.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,167.0,36.0,132.0,58.0,0.0,114.0,32.0,96.0,5.0,23.0,21.0,20.0,42.0,356.0,73.0,84.0,33.0,18.0,13.0,3.0,15.0,9.0,190.0,30.0,15.0,7.0,23.0,43.0,7.0,0.0,17.0,36.0,14.0,14.0,39.0,29.0,33.0,16.0,173.0,97.0,47.0,9.0,7.0,1.0,23.0,76.0,98.0,21.0,21.0,2.0,0.0,0.0,8.0,10.0,68.0,12.0,44.0,18.0,12.0,14.0,6.0,20.0,14.0,12.0,1.0,3.0,6.0,5.0,15.0,8.0,11.0,18.0,3.0,35.0,6.0,14.0,5.0,4.0,8.0,2.0,12.0,2.0,8.0,3.0,7.0,7.0,2.0,14.0,16.0,16.0,7.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,3.0,17.0,3.0,9.0,12.0,9.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,29.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,89.0,48.0,58.0,21.0,114.0,0.0,35.0,22.0,6.0,15.0,22.0,12.0,23.0,209.0,60.0,56.0,12.0,6.0,9.0,1.0,6.0,4.0,77.0,13.0,3.0,2.0,20.0,44.0,6.0,0.0,10.0,23.0,4.0,9.0,37.0,13.0,19.0,11.0,71.0,34.0,20.0,7.0,1.0,0.0,15.0,36.0,33.0,1.0,7.0,4.0,1.0,0.0,1.0,9.0,46.0,10.0,13.0,7.0,6.0,10.0,5.0,14.0,11.0,8.0,1.0,5.0,2.0,1.0,11.0,10.0,7.0,7.0,1.0,16.0,5.0,13.0,4.0,4.0,6.0,2.0,6.0,4.0,3.0,6.0,1.0,2.0,2.0,5.0,13.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,8.0,3.0,10.0,14.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,1.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,43.0,11.0,15.0,32.0,32.0,35.0,0.0,18.0,4.0,6.0,13.0,9.0,1.0,62.0,12.0,17.0,9.0,3.0,0.0,3.0,4.0,7.0,26.0,8.0,5.0,1.0,4.0,13.0,1.0,0.0,5.0,5.0,1.0,3.0,14.0,8.0,6.0,5.0,39.0,8.0,13.0,2.0,0.0,0.0,11.0,11.0,10.0,1.0,5.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,2.0,4.0,1.0,0.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,76.0,20.0,64.0,31.0,96.0,22.0,18.0,0.0,7.0,16.0,16.0,11.0,26.0,214.0,25.0,35.0,7.0,6.0,1.0,3.0,16.0,9.0,79.0,14.0,6.0,5.0,5.0,5.0,2.0,1.0,11.0,10.0,4.0,5.0,16.0,6.0,19.0,6.0,89.0,39.0,30.0,4.0,0.0,1.0,9.0,32.0,30.0,8.0,15.0,1.0,0.0,0.0,3.0,9.0,29.0,14.0,17.0,9.0,7.0,12.0,2.0,18.0,7.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,9.0,7.0,3.0,18.0,6.0,7.0,2.0,0.0,1.0,1.0,5.0,7.0,3.0,2.0,1.0,5.0,0.0,8.0,9.0,2.0,10.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,15.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,5.0,5.0,10.0,5.0,6.0,4.0,7.0,0.0,3.0,1.0,5.0,0.0,12.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,4.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,10.0,6.0,7.0,23.0,15.0,6.0,16.0,3.0,0.0,3.0,0.0,9.0,62.0,13.0,16.0,3.0,4.0,1.0,0.0,4.0,2.0,40.0,22.0,0.0,0.0,9.0,6.0,2.0,0.0,14.0,11.0,1.0,8.0,11.0,6.0,7.0,8.0,30.0,15.0,3.0,3.0,0.0,0.0,10.0,15.0,11.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,5.0,3.0,1.0,4.0,0.0,7.0,4.0,3.0,0.0,2.0,0.0,1.0,6.0,2.0,2.0,4.0,4.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,16.0,23.0,31.0,21.0,22.0,13.0,16.0,1.0,3.0,0.0,8.0,2.0,70.0,10.0,15.0,2.0,0.0,3.0,1.0,2.0,4.0,33.0,1.0,4.0,3.0,3.0,4.0,1.0,0.0,4.0,4.0,1.0,1.0,6.0,4.0,8.0,2.0,22.0,8.0,7.0,0.0,0.0,0.0,6.0,11.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,6.0,8.0,10.0,20.0,12.0,9.0,11.0,5.0,0.0,8.0,0.0,4.0,32.0,9.0,6.0,1.0,2.0,1.0,2.0,5.0,3.0,5.0,4.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,6.0,8.0,2.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40.0,7.0,26.0,8.0,42.0,23.0,1.0,26.0,0.0,9.0,2.0,4.0,0.0,177.0,15.0,25.0,9.0,5.0,3.0,2.0,2.0,2.0,40.0,7.0,4.0,1.0,13.0,18.0,1.0,3.0,10.0,22.0,8.0,11.0,17.0,11.0,16.0,8.0,47.0,16.0,16.0,2.0,6.0,0.0,14.0,35.0,30.0,3.0,6.0,3.0,1.0,0.0,4.0,5.0,30.0,2.0,18.0,8.0,7.0,13.0,8.0,14.0,6.0,5.0,0.0,2.0,1.0,2.0,5.0,3.0,9.0,11.0,4.0,17.0,2.0,6.0,1.0,3.0,2.0,0.0,5.0,3.0,0.0,6.0,2.0,5.0,0.0,2.0,6.0,6.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,9.0,3.0,6.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,454.0,163.0,336.0,124.0,356.0,209.0,62.0,214.0,12.0,62.0,70.0,32.0,177.0,0.0,101.0,252.0,65.0,34.0,29.0,12.0,52.0,8.0,418.0,59.0,39.0,27.0,121.0,129.0,7.0,4.0,80.0,122.0,42.0,85.0,86.0,61.0,112.0,41.0,493.0,197.0,120.0,41.0,10.0,6.0,141.0,403.0,282.0,45.0,67.0,11.0,2.0,0.0,19.0,58.0,236.0,30.0,90.0,39.0,22.0,42.0,30.0,104.0,55.0,47.0,6.0,26.0,14.0,29.0,19.0,21.0,44.0,59.0,38.0,122.0,24.0,52.0,32.0,21.0,25.0,9.0,37.0,29.0,32.0,33.0,5.0,15.0,4.0,27.0,47.0,22.0,20.0,2.0,12.0,3.0,8.0,3.0,1.0,11.0,5.0,96.0,11.0,55.0,53.0,44.0,7.0,7.0,0.0,17.0,0.0,0.0,2.0,0.0,6.0,0.0,29.0,118.0,2.0,48.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,73.0,20.0,43.0,18.0,73.0,60.0,12.0,25.0,4.0,13.0,10.0,9.0,15.0,101.0,0.0,65.0,15.0,8.0,8.0,1.0,5.0,4.0,51.0,17.0,8.0,3.0,18.0,23.0,3.0,1.0,8.0,12.0,6.0,10.0,22.0,8.0,13.0,12.0,41.0,21.0,14.0,3.0,0.0,0.0,10.0,24.0,18.0,6.0,7.0,0.0,0.0,0.0,2.0,7.0,26.0,1.0,6.0,8.0,2.0,4.0,5.0,8.0,2.0,7.0,0.0,2.0,0.0,2.0,9.0,6.0,4.0,5.0,0.0,20.0,2.0,3.0,0.0,2.0,3.0,2.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,2.0,8.0,9.0,12.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,27.0,0.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,90.0,22.0,66.0,29.0,84.0,56.0,17.0,35.0,1.0,16.0,15.0,6.0,25.0,252.0,65.0,0.0,16.0,15.0,14.0,2.0,15.0,5.0,108.0,20.0,14.0,5.0,25.0,33.0,4.0,0.0,11.0,16.0,3.0,13.0,34.0,13.0,13.0,12.0,100.0,47.0,37.0,11.0,3.0,0.0,22.0,85.0,59.0,14.0,17.0,3.0,0.0,0.0,5.0,10.0,45.0,5.0,22.0,15.0,8.0,7.0,6.0,22.0,7.0,8.0,0.0,2.0,0.0,3.0,6.0,1.0,3.0,25.0,3.0,24.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,8.0,5.0,3.0,1.0,4.0,3.0,6.0,12.0,10.0,4.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,8.0,3.0,11.0,13.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,29.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,18.0,10.0,19.0,9.0,33.0,12.0,9.0,7.0,1.0,3.0,2.0,1.0,9.0,65.0,15.0,16.0,0.0,12.0,6.0,4.0,2.0,0.0,15.0,2.0,4.0,0.0,8.0,13.0,1.0,0.0,2.0,9.0,2.0,2.0,8.0,2.0,7.0,5.0,25.0,13.0,10.0,0.0,0.0,0.0,4.0,15.0,9.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,12.0,2.0,2.0,6.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,6.0,1.0,3.0,2.0,1.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,7.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,4.0,9.0,5.0,18.0,6.0,3.0,6.0,1.0,4.0,0.0,2.0,5.0,34.0,8.0,15.0,12.0,0.0,5.0,0.0,2.0,3.0,13.0,4.0,2.0,0.0,4.0,7.0,3.0,2.0,2.0,5.0,3.0,4.0,5.0,9.0,8.0,5.0,13.0,4.0,1.0,1.0,0.0,0.0,1.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,2.0,5.0,2.0,13.0,9.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,29.0,8.0,14.0,6.0,5.0,0.0,6.0,1.0,0.0,14.0,2.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,5.0,4.0,17.0,9.0,3.0,1.0,0.0,0.0,3.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1.0,2.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,12.0,1.0,2.0,4.0,0.0,6.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,5.0,8.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,15.0,3.0,17.0,5.0,15.0,6.0,4.0,16.0,0.0,4.0,2.0,5.0,2.0,52.0,5.0,15.0,2.0,2.0,1.0,2.0,0.0,5.0,15.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,7.0,3.0,2.0,3.0,3.0,5.0,2.0,4.0,24.0,10.0,11.0,0.0,3.0,0.0,5.0,19.0,12.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,4.0,7.0,3.0,9.0,4.0,7.0,9.0,2.0,2.0,4.0,3.0,2.0,8.0,4.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,149.0,57.0,122.0,45.0,190.0,77.0,26.0,79.0,6.0,40.0,33.0,5.0,40.0,418.0,51.0,108.0,15.0,13.0,14.0,4.0,15.0,8.0,0.0,46.0,13.0,7.0,47.0,60.0,5.0,3.0,22.0,33.0,12.0,19.0,48.0,29.0,36.0,20.0,193.0,101.0,53.0,15.0,4.0,1.0,31.0,78.0,84.0,14.0,27.0,7.0,0.0,0.0,9.0,18.0,90.0,15.0,24.0,14.0,13.0,16.0,10.0,28.0,18.0,24.0,1.0,5.0,1.0,10.0,11.0,9.0,17.0,29.0,8.0,41.0,11.0,20.0,7.0,5.0,6.0,0.0,12.0,10.0,2.0,7.0,2.0,4.0,2.0,11.0,18.0,10.0,6.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,4.0,39.0,6.0,12.0,17.0,13.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,19.0,50.0,1.0,31.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
